latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
23.769,86.3923,303.8,3.6,1.8,2024-01-01,0346,Terra,MODIS,13,61.03,291.9,27.5,D,2
34.0996,74.9958,305.7,1,1,2024-01-01,0522,Terra,MODIS,55,61.03,278,10.1,D,0
31.0805,78.2029,300.8,1.5,1.2,2024-01-01,0522,Terra,MODIS,18,61.03,284.3,11.5,D,0
34.0908,74.9942,300.5,1,1,2024-01-01,0522,Terra,MODIS,28,61.03,280.4,6.9,D,0
23.6291,74.3663,304.3,1.2,1.1,2024-01-01,0524,Terra,MODIS,43,61.03,292.2,5.1,D,0
23.0714,79.2203,303.8,2.7,1.6,2024-01-01,0524,Terra,MODIS,41,61.03,292.2,14.9,D,0
21.488,74.1833,307.1,1.3,1.1,2024-01-01,0525,Terra,MODIS,21,61.03,296.4,5.2,D,0
22.845,74.2448,306.3,1.2,1.1,2024-01-01,0525,Terra,MODIS,47,61.03,294.8,5,D,2
19.6893,74.7921,309.3,1.5,1.2,2024-01-01,0525,Terra,MODIS,47,61.03,298.2,7.6,D,0
21.4303,73.1296,319.5,1.1,1.1,2024-01-01,0525,Terra,MODIS,73,61.03,299,14.4,D,0
21.4396,73.1313,310.9,1.1,1.1,2024-01-01,0525,Terra,MODIS,42,61.03,298.7,5.3,D,0
21.5563,72.7955,315.8,1.1,1,2024-01-01,0525,Terra,MODIS,68,61.03,299,10.5,D,0
23.3879,69.1098,306.6,1.1,1.1,2024-01-01,0525,Terra,MODIS,50,61.03,295.9,4.4,D,0
18.8331,73.3723,311.6,1.2,1.1,2024-01-01,0526,Terra,MODIS,42,61.03,299.5,7.2,D,0
19.2379,73.9111,309.1,1.3,1.1,2024-01-01,0526,Terra,MODIS,43,61.03,298,6.5,D,0
19.4049,73.6425,317,1.3,1.1,2024-01-01,0526,Terra,MODIS,69,61.03,301.6,12.2,D,0
18.0994,74.1404,316.9,1.4,1.2,2024-01-01,0526,Terra,MODIS,68,61.03,299.7,15.3,D,0
18.1527,74.7055,318,1.6,1.2,2024-01-01,0526,Terra,MODIS,70,61.03,298.7,21,D,0
17.0013,76.0825,311.4,2.1,1.4,2024-01-01,0526,Terra,MODIS,52,61.03,299.1,12.9,D,0
17.3477,74.4735,313.6,1.6,1.2,2024-01-01,0526,Terra,MODIS,61,61.03,298.9,12.4,D,0
17.7757,75.2363,310.3,1.7,1.3,2024-01-01,0526,Terra,MODIS,45,61.03,298.7,11.5,D,0
17.7737,75.2425,309.5,1.7,1.3,2024-01-01,0526,Terra,MODIS,37,61.03,298.7,9.1,D,0
18.4377,74.9469,310.1,1.6,1.2,2024-01-01,0526,Terra,MODIS,48,61.03,299.4,8.4,D,0
18.5051,74.1179,310.6,1.4,1.2,2024-01-01,0526,Terra,MODIS,52,61.03,299.2,7.7,D,0
18.1446,74.71,333.1,1.6,1.2,2024-01-01,0526,Terra,MODIS,86,61.03,298.7,53.8,D,0
18.1504,74.7199,321.7,1.6,1.2,2024-01-01,0526,Terra,MODIS,75,61.03,298.7,27.7,D,2
18.1421,74.7242,310,1.6,1.2,2024-01-01,0526,Terra,MODIS,46,61.03,298.1,8.6,D,0
18.8009,83.9315,314.6,1.1,1,2024-01-01,0818,Aqua,MODIS,61,61.03,302.7,5.7,D,0
18.8098,83.6031,314.7,1,1,2024-01-01,0818,Aqua,MODIS,63,61.03,299.2,7.3,D,0
14.9712,75.1015,319.6,2.9,1.6,2024-01-01,0818,Aqua,MODIS,65,61.03,297.7,50.2,D,0
14.9733,75.0961,322,2.9,1.6,2024-01-01,0818,Aqua,MODIS,70,61.03,298,61.5,D,0
16.277,80.6741,320.2,1.1,1.1,2024-01-01,0818,Aqua,MODIS,74,61.03,300.2,12.7,D,0
16.4306,80.7203,314.3,1.1,1.1,2024-01-01,0818,Aqua,MODIS,61,61.03,300.4,7.7,D,0
17.2327,81.6786,315.8,1,1,2024-01-01,0818,Aqua,MODIS,0,61.03,299.4,8.6,D,0
17.1163,78.483,328.3,1.5,1.2,2024-01-01,0818,Aqua,MODIS,79,61.03,305.5,30.7,D,0
17.5712,79.8158,310.3,1.2,1.1,2024-01-01,0818,Aqua,MODIS,26,61.03,298.6,3.7,D,0
18.8252,84.2468,312.8,1.1,1,2024-01-01,0818,Aqua,MODIS,45,61.03,299.1,6.3,D,0
21.1551,82.3285,314,1,1,2024-01-01,0819,Aqua,MODIS,45,61.03,300.9,5.6,D,0
21.1524,82.3094,315.1,1,1,2024-01-01,0819,Aqua,MODIS,36,61.03,299.8,6.5,D,0
21.1158,82.0534,318.6,1,1,2024-01-01,0819,Aqua,MODIS,71,61.03,301.8,10,D,0
21.1584,82.2834,320.2,1,1,2024-01-01,0819,Aqua,MODIS,71,61.03,299,11.9,D,0
21.1571,82.2739,315.7,1,1,2024-01-01,0819,Aqua,MODIS,66,61.03,299.3,9.2,D,0
21.2531,82.8982,314.8,1,1,2024-01-01,0819,Aqua,MODIS,66,61.03,300,7.7,D,0
21.2518,82.8884,317.3,1,1,2024-01-01,0819,Aqua,MODIS,70,61.03,299.6,9.9,D,0
21.1802,82.309,314.9,1,1,2024-01-01,0819,Aqua,MODIS,65,61.03,299.2,7.1,D,0
21.1789,82.2995,320.9,1,1,2024-01-01,0819,Aqua,MODIS,74,61.03,299.9,11.8,D,0
20.9754,80.9063,312.8,1,1,2024-01-01,0819,Aqua,MODIS,53,61.03,301.9,5,D,0
21.2604,82.8172,313,1,1,2024-01-01,0819,Aqua,MODIS,52,61.03,299.9,5.5,D,0
21.2577,82.7978,315,1,1,2024-01-01,0819,Aqua,MODIS,66,61.03,300.1,7.1,D,0
21.1568,82.0798,314.6,1,1,2024-01-01,0819,Aqua,MODIS,63,61.03,299.9,6.5,D,0
21.3975,83.5503,309.3,1.1,1,2024-01-01,0819,Aqua,MODIS,54,61.03,299.1,4.6,D,0
21.1936,82.0834,312.6,1,1,2024-01-01,0819,Aqua,MODIS,49,61.03,300.8,4.5,D,0
21.1881,82.0455,327.6,1,1,2024-01-01,0819,Aqua,MODIS,81,61.03,302.8,19.4,D,0
21.1868,82.0361,315,1,1,2024-01-01,0819,Aqua,MODIS,64,61.03,301.3,7.2,D,0
21.2119,82.1483,313.4,1,1,2024-01-01,0819,Aqua,MODIS,52,61.03,301,5.3,D,0
21.0659,81.1455,312.5,1,1,2024-01-01,0819,Aqua,MODIS,57,61.03,300.6,5,D,0
21.0407,80.9146,311.7,1,1,2024-01-01,0819,Aqua,MODIS,54,61.03,301.2,4.6,D,0
21.3419,82.9375,313.2,1,1,2024-01-01,0819,Aqua,MODIS,63,61.03,300.2,6.1,D,0
21.0673,81.0214,312.9,1,1,2024-01-01,0819,Aqua,MODIS,59,61.03,301.1,5.4,D,0
21.063,80.9927,314.2,1,1,2024-01-01,0819,Aqua,MODIS,63,61.03,301.8,6.4,D,0
21.2368,82.1181,316.9,1,1,2024-01-01,0819,Aqua,MODIS,46,61.03,300.2,7.6,D,0
21.2355,82.1086,323.8,1,1,2024-01-01,0819,Aqua,MODIS,78,61.03,303,14.1,D,0
21.3856,83.1224,310.6,1.1,1,2024-01-01,0819,Aqua,MODIS,42,61.03,298.1,6,D,0
21.2443,82.1071,326.1,1,1,2024-01-01,0819,Aqua,MODIS,74,61.03,301.9,15.5,D,0
21.2852,82.1392,316,1,1,2024-01-01,0819,Aqua,MODIS,67,61.03,299.8,7.7,D,0
21.2839,82.1298,330.3,1,1,2024-01-01,0819,Aqua,MODIS,84,61.03,300.8,23,D,0
21.4222,82.9851,312,1,1,2024-01-01,0819,Aqua,MODIS,60,61.03,299.6,5.4,D,0
21.578,84.0651,311.5,1.1,1.1,2024-01-01,0819,Aqua,MODIS,63,61.03,299.3,7,D,0
21.4652,83.1041,310.2,1.1,1,2024-01-01,0819,Aqua,MODIS,52,61.03,298.6,5.9,D,0
21.5232,83.2586,311.4,1.1,1,2024-01-01,0819,Aqua,MODIS,61,61.03,299.2,5.9,D,0
21.3188,81.7984,312.7,1,1,2024-01-01,0819,Aqua,MODIS,60,61.03,301.2,4.8,D,0
21.6122,83.2999,311.8,1.1,1,2024-01-01,0819,Aqua,MODIS,61,61.03,300.1,5.5,D,0
21.6529,83.3247,312.4,1.1,1,2024-01-01,0819,Aqua,MODIS,29,61.03,300,5.2,D,0
21.598,82.9247,321.2,1,1,2024-01-01,0819,Aqua,MODIS,75,61.03,300.2,13.6,D,0
21.6607,83.3131,314,1.1,1,2024-01-01,0819,Aqua,MODIS,42,61.03,300.5,6.1,D,0
21.4603,81.6268,311.7,1,1,2024-01-01,0819,Aqua,MODIS,54,61.03,300.1,4.2,D,0
21.7833,83.344,311.6,1.1,1,2024-01-01,0819,Aqua,MODIS,58,61.03,300.4,5,D,0
21.7757,83.1487,312.7,1.1,1,2024-01-01,0819,Aqua,MODIS,61,61.03,301.2,5.3,D,0
21.7296,82.811,312.5,1,1,2024-01-01,0819,Aqua,MODIS,0,61.03,300.4,5.2,D,0
21.7127,82.4261,313.4,1,1,2024-01-01,0819,Aqua,MODIS,53,61.03,302.1,5.1,D,0
21.7815,82.853,315.6,1,1,2024-01-01,0819,Aqua,MODIS,66,61.03,300,8.4,D,0
21.7801,82.8432,313.3,1,1,2024-01-01,0819,Aqua,MODIS,60,61.03,300.5,6.3,D,0
21.8371,83.1332,312.8,1.1,1,2024-01-01,0819,Aqua,MODIS,61,61.03,299.6,6.1,D,0
21.8367,83.0616,311.2,1.1,1,2024-01-01,0819,Aqua,MODIS,56,61.03,300.3,5,D,0
21.7895,82.7155,311.4,1,1,2024-01-01,0819,Aqua,MODIS,47,61.03,299.2,5.3,D,0
21.8264,82.8501,311.8,1,1,2024-01-01,0819,Aqua,MODIS,57,61.03,300.8,5.2,D,0
21.8413,82.7572,333,1,1,2024-01-01,0819,Aqua,MODIS,86,61.03,300.2,27.3,D,0
21.8399,82.7474,353.3,1,1,2024-01-01,0819,Aqua,MODIS,97,61.03,303.7,65.9,D,0
21.838,82.6677,313.2,1,1,2024-01-01,0819,Aqua,MODIS,58,61.03,300.3,5.9,D,0
21.7987,82.3866,321.4,1,1,2024-01-01,0819,Aqua,MODIS,75,61.03,300.7,13,D,0
21.7973,82.377,320.9,1,1,2024-01-01,0819,Aqua,MODIS,74,61.03,301.5,12.4,D,0
21.9127,83.1419,312,1.1,1,2024-01-01,0819,Aqua,MODIS,59,61.03,299.8,5.9,D,0
21.8839,82.932,311.1,1,1,2024-01-01,0819,Aqua,MODIS,55,61.03,299.6,5.2,D,0
21.8573,82.668,313.4,1,1,2024-01-01,0819,Aqua,MODIS,62,61.03,299.4,6.5,D,0
21.721,81.6999,312,1,1,2024-01-01,0819,Aqua,MODIS,57,61.03,300.7,5.5,D,0
21.826,82.3755,315.3,1,1,2024-01-01,0819,Aqua,MODIS,66,61.03,301.2,7.3,D,0
22.0384,83.7385,320.6,1.1,1.1,2024-01-01,0819,Aqua,MODIS,76,61.03,303,14.9,D,2
22.037,83.7278,315.8,1.1,1.1,2024-01-01,0819,Aqua,MODIS,70,61.03,302.5,9.6,D,2
21.8905,82.6426,313,1,1,2024-01-01,0819,Aqua,MODIS,61,61.03,299.7,6.3,D,0
21.8495,82.2831,315.9,1,1,2024-01-01,0819,Aqua,MODIS,67,61.03,301,7.5,D,0
21.9533,82.9651,311.7,1,1,2024-01-01,0819,Aqua,MODIS,58,61.03,299.6,5.3,D,0
21.8909,82.5133,323.2,1,1,2024-01-01,0819,Aqua,MODIS,77,61.03,300.6,15.1,D,0
21.9556,82.9139,312.3,1,1,2024-01-01,0819,Aqua,MODIS,56,61.03,300.1,5.8,D,0
21.8836,82.3957,321.4,1,1,2024-01-01,0819,Aqua,MODIS,75,61.03,300.6,12.7,D,0
21.9138,82.4147,312.6,1,1,2024-01-01,0819,Aqua,MODIS,60,61.03,300.5,5.5,D,0
21.9496,82.6074,311.1,1,1,2024-01-01,0819,Aqua,MODIS,56,61.03,299.9,4.8,D,0
21.9706,82.4946,316.3,1,1,2024-01-01,0819,Aqua,MODIS,68,61.03,300.4,8.5,D,0
21.9173,82.3747,321.7,1,1,2024-01-01,0819,Aqua,MODIS,66,61.03,300.1,12.4,D,0
22.3209,82.5627,318.1,1,1,2024-01-01,0819,Aqua,MODIS,73,61.03,304.4,8.9,D,2
22.3069,82.5951,314,1,1,2024-01-01,0819,Aqua,MODIS,48,61.03,301.4,5.8,D,0
22.1346,81.5082,310.4,1,1,2024-01-01,0819,Aqua,MODIS,57,61.03,299.8,4.2,D,0
22.1859,82.0558,312.8,1,1,2024-01-01,0819,Aqua,MODIS,64,61.03,300.8,5.4,D,0
22.1606,82.0698,314.8,1,1,2024-01-01,0819,Aqua,MODIS,68,61.03,301.3,7,D,0
21.2294,76.6329,312.7,1.7,1.3,2024-01-01,0819,Aqua,MODIS,57,61.03,298.6,17.7,D,0
22.0671,82.522,317.7,1,1,2024-01-01,0819,Aqua,MODIS,71,61.03,300.7,10.2,D,0
22.0473,82.4457,312.5,1,1,2024-01-01,0819,Aqua,MODIS,61,61.03,299.4,6,D,0
22.0487,82.4554,321.2,1,1,2024-01-01,0819,Aqua,MODIS,76,61.03,300,13.8,D,0
22.0678,82.9309,313.9,1,1,2024-01-01,0819,Aqua,MODIS,65,61.03,299.5,7.2,D,0
21.9966,82.55,315.5,1,1,2024-01-01,0819,Aqua,MODIS,67,61.03,300.2,8.1,D,0
18.6526,79.6409,315.4,1.2,1.1,2024-01-01,0819,Aqua,MODIS,62,61.03,302.3,7.3,D,0
20.8618,84.9883,310.5,1.3,1.1,2024-01-01,0819,Aqua,MODIS,57,61.03,300.3,6.8,D,0
20.958,85.1757,315.3,1.3,1.1,2024-01-01,0819,Aqua,MODIS,36,61.03,302,10.4,D,2
20.968,85.1743,314.9,1.3,1.1,2024-01-01,0819,Aqua,MODIS,31,61.03,300.8,10,D,2
20.4496,81.3418,311.6,1,1,2024-01-01,0819,Aqua,MODIS,60,61.03,300.7,5.1,D,0
21.0731,85.036,314.5,1.3,1.1,2024-01-01,0819,Aqua,MODIS,68,61.03,301.9,10.8,D,2
20.7613,81.9571,313.2,1,1,2024-01-01,0819,Aqua,MODIS,62,61.03,301.8,4.9,D,0
20.7701,81.9557,313.4,1,1,2024-01-01,0819,Aqua,MODIS,63,61.03,302,5.1,D,0
20.8312,81.8617,314.3,1,1,2024-01-01,0819,Aqua,MODIS,63,61.03,301.1,6.1,D,0
20.8401,81.8602,330.8,1,1,2024-01-01,0819,Aqua,MODIS,84,61.03,302.6,23,D,0
20.8387,81.8508,330.3,1,1,2024-01-01,0819,Aqua,MODIS,84,61.03,302.1,22.3,D,0
21.1451,83.8617,308.3,1.1,1.1,2024-01-01,0819,Aqua,MODIS,0,61.03,297,4.8,D,0
20.7845,81.1727,313,1,1,2024-01-01,0819,Aqua,MODIS,60,61.03,302.3,4.9,D,0
20.9498,82.0488,327.6,1,1,2024-01-01,0819,Aqua,MODIS,81,61.03,302,19,D,0
20.9485,82.0394,326.1,1,1,2024-01-01,0819,Aqua,MODIS,80,61.03,302.7,17.3,D,0
21.0072,82.3885,311.1,1,1,2024-01-01,0819,Aqua,MODIS,54,61.03,299.8,5,D,0
20.8429,81.2544,312.5,1,1,2024-01-01,0819,Aqua,MODIS,58,61.03,301,5.2,D,0
20.8415,81.2449,311.9,1,1,2024-01-01,0819,Aqua,MODIS,56,61.03,300.6,4.6,D,0
21.0083,82.2037,328.8,1,1,2024-01-01,0819,Aqua,MODIS,82,61.03,302.4,21.7,D,0
21.0049,81.8495,313.8,1,1,2024-01-01,0819,Aqua,MODIS,61,61.03,300.4,5.6,D,0
20.8966,81.0532,314.1,1,1,2024-01-01,0819,Aqua,MODIS,47,61.03,301.8,5.3,D,0
21.0449,81.6883,312.5,1,1,2024-01-01,0819,Aqua,MODIS,58,61.03,300.7,4.5,D,0
21.3314,83.5978,310.8,1.1,1,2024-01-01,0819,Aqua,MODIS,59,61.03,299,5.5,D,0
21.33,83.5875,313.9,1.1,1,2024-01-01,0819,Aqua,MODIS,66,61.03,298.7,8.2,D,0
21.1565,82.338,313.6,1,1,2024-01-01,0819,Aqua,MODIS,62,61.03,300.9,5.5,D,0
25.3957,84.2453,304.9,1.3,1.1,2024-01-01,0820,Aqua,MODIS,54,61.03,293.5,5.2,D,0
23.165,82.3387,310.5,1,1,2024-01-01,0820,Aqua,MODIS,59,61.03,298.9,6.5,D,0
23.758,86.4015,316.2,1.7,1.3,2024-01-01,0820,Aqua,MODIS,54,61.03,300.9,18.7,D,2
22.9016,79.3102,328.7,1.1,1,2024-01-01,0820,Aqua,MODIS,83,61.03,299.9,25.4,D,0
22.9795,78.9989,311.4,1.1,1.1,2024-01-01,0820,Aqua,MODIS,58,61.03,298.9,6.2,D,0
23.1492,79.5923,309.8,1.1,1,2024-01-01,0820,Aqua,MODIS,52,61.03,298.7,4.4,D,0
24.7423,84.0721,306.5,1.2,1.1,2024-01-01,0820,Aqua,MODIS,55,61.03,294.6,5.3,D,0
25.2309,84.3986,302.8,1.3,1.1,2024-01-01,0820,Aqua,MODIS,47,61.03,290.5,5.1,D,0
26.9315,88.6715,307.2,2.7,1.6,2024-01-01,0820,Aqua,MODIS,64,61.03,293.6,23.3,D,0
26.6257,84.4104,307.4,1.4,1.2,2024-01-01,0820,Aqua,MODIS,46,61.03,292.1,10.2,D,0
29.7305,79.9472,307.6,1,1,2024-01-01,0821,Aqua,MODIS,66,61.03,292.3,6.3,D,0
29.9046,80.461,307.2,1,1,2024-01-01,0821,Aqua,MODIS,42,61.03,288.1,8.2,D,0
27.6358,80.2542,301.1,1,1,2024-01-01,0821,Aqua,MODIS,45,61.03,291,3.4,D,0
27.6707,80.3702,303.9,1,1,2024-01-01,0821,Aqua,MODIS,57,61.03,291.5,4.3,D,0
27.75,80.4114,302.4,1,1,2024-01-01,0821,Aqua,MODIS,52,61.03,291.6,3.7,D,0
27.9474,81.0911,301.2,1,1,2024-01-01,0821,Aqua,MODIS,45,61.03,290.8,3.5,D,0
27.8811,80.6164,308.9,1,1,2024-01-01,0821,Aqua,MODIS,68,61.03,292.6,7.4,D,0
28.0424,80.6469,304.2,1,1,2024-01-01,0821,Aqua,MODIS,58,61.03,292.1,4.5,D,0
28.118,81.0591,303.3,1,1,2024-01-01,0821,Aqua,MODIS,55,61.03,292.9,3.9,D,0
28.2144,79.7962,303.2,1,1,2024-01-01,0821,Aqua,MODIS,55,61.03,292.7,3.9,D,0
28.1137,80.8306,302.4,1,1,2024-01-01,0821,Aqua,MODIS,52,61.03,292.3,3.5,D,0
28.175,81.2067,305.2,1,1,2024-01-01,0821,Aqua,MODIS,53,61.03,292.5,5.9,D,0
26.9786,82.9558,310.7,1.2,1.1,2024-01-01,0821,Aqua,MODIS,69,61.03,292.9,10.4,D,0
27.2608,84.3567,306.7,1.4,1.2,2024-01-01,0821,Aqua,MODIS,64,61.03,294.5,7.6,D,0
27.2622,84.0355,306.1,1.3,1.1,2024-01-01,0821,Aqua,MODIS,63,61.03,294.1,6.8,D,0
27.5471,81.7418,317.5,1.1,1,2024-01-01,0821,Aqua,MODIS,78,61.03,293.6,14.9,D,0
27.5457,81.7313,305.5,1.1,1,2024-01-01,0821,Aqua,MODIS,61,61.03,292.9,4.9,D,0
25.981,72.1335,312.6,2.8,1.6,2024-01-01,0821,Aqua,MODIS,58,61.03,302,19.2,D,0
25.9755,72.1067,315.5,2.8,1.6,2024-01-01,0821,Aqua,MODIS,66,61.03,302.2,30.1,D,0
27.4584,80.4928,301.5,1,1,2024-01-01,0821,Aqua,MODIS,47,61.03,291.3,3.5,D,0
25.9714,72.1288,314.7,2.8,1.6,2024-01-01,0821,Aqua,MODIS,64,61.03,302.1,26.7,D,0
27.6057,81.2178,305.2,1,1,2024-01-01,0821,Aqua,MODIS,61,61.03,288.4,6.5,D,0
27.5606,80.3767,302.6,1,1,2024-01-01,0821,Aqua,MODIS,53,61.03,290.4,4.4,D,0
27.5894,80.5143,303.7,1,1,2024-01-01,0821,Aqua,MODIS,57,61.03,291.3,4.4,D,0
28.7612,79.6242,307.6,1,1,2024-01-01,0821,Aqua,MODIS,66,61.03,292.9,6.7,D,0
28.8546,79.3765,305.7,1,1,2024-01-01,0821,Aqua,MODIS,62,61.03,291.8,5.7,D,0
28.6834,77.912,302.7,1.1,1,2024-01-01,0821,Aqua,MODIS,53,61.03,290.8,5.1,D,0
28.7781,77.8628,301.6,1.1,1,2024-01-01,0821,Aqua,MODIS,48,61.03,290.3,4.4,D,0
28.9053,77.5618,301.2,1.1,1.1,2024-01-01,0821,Aqua,MODIS,45,61.03,290.7,4.5,D,0
29.3042,79.9958,300.9,1,1,2024-01-01,0821,Aqua,MODIS,37,61.03,290,4,D,0
29.2034,78.8752,301.4,1,1,2024-01-01,0821,Aqua,MODIS,47,61.03,291,3.6,D,0
29.3924,79.8943,302.5,1,1,2024-01-01,0821,Aqua,MODIS,52,61.03,291,5,D,0
29.7009,79.9942,306.4,1,1,2024-01-01,0821,Aqua,MODIS,49,61.03,291.1,6.5,D,0
31.3004,77.0868,302.5,1.1,1,2024-01-01,0822,Aqua,MODIS,44,61.03,292.3,4.9,D,0
30.1299,80.3596,308.7,1,1,2024-01-01,0822,Aqua,MODIS,57,61.03,289.6,10.2,D,0
29.9204,78.7888,302.4,1,1,2024-01-01,0822,Aqua,MODIS,44,61.03,291.6,3.7,D,0
30.7401,78.2823,305.7,1,1,2024-01-01,0822,Aqua,MODIS,62,61.03,288.8,7.5,D,0
30.7779,78.3494,301.1,1,1,2024-01-01,0822,Aqua,MODIS,38,61.03,289.7,4.9,D,0
30.8974,77.8666,313.9,1,1,2024-01-01,0822,Aqua,MODIS,67,61.03,292.1,12.7,D,0
30.9735,77.8768,307.6,1,1,2024-01-01,0822,Aqua,MODIS,46,61.03,292.9,7.6,D,0
30.9717,77.8653,304.2,1,1,2024-01-01,0822,Aqua,MODIS,27,61.03,294.1,5.1,D,0
31.0785,78.1975,312.1,1,1,2024-01-01,0822,Aqua,MODIS,63,61.03,296.2,11.9,D,0
31.3022,77.0981,316.3,1.1,1,2024-01-01,0822,Aqua,MODIS,77,61.03,291.4,16.3,D,0
31.315,77.0011,305.2,1.1,1,2024-01-01,0822,Aqua,MODIS,23,61.03,293.1,6.4,D,0
32.1367,76.6504,309.4,1.1,1.1,2024-01-01,0822,Aqua,MODIS,68,61.03,284.8,12.1,D,0
32.4185,76.4376,320.8,1.1,1.1,2024-01-01,0822,Aqua,MODIS,80,61.03,283.1,25.3,D,0
16.3993,75.8559,302,2.2,1.4,2024-01-01,1618,Terra,MODIS,46,61.03,290.1,14.5,N,0
20.9638,85.1644,303.4,1.4,1.2,2024-01-01,1618,Terra,MODIS,41,61.03,292.7,8.8,N,2
20.9654,85.1776,306.4,1.4,1.2,2024-01-01,1618,Terra,MODIS,68,61.03,292.6,12.2,N,2
19.6002,77.6372,303.9,1.4,1.2,2024-01-01,1618,Terra,MODIS,58,61.03,289.3,11.2,N,0
16.2264,75.3894,305.3,2.4,1.5,2024-01-01,1618,Terra,MODIS,64,61.03,288.7,24.9,N,0
16.5986,75.7813,304.7,2.2,1.4,2024-01-01,1618,Terra,MODIS,61,61.03,288.9,21.1,N,0
16.5978,75.7869,303.3,2.2,1.4,2024-01-01,1618,Terra,MODIS,54,61.03,289,18.7,N,0
23.7601,86.3954,303.6,1.8,1.3,2024-01-01,1619,Terra,MODIS,29,61.03,288.7,17.4,N,2
22.9536,79.061,309.4,1.1,1,2024-01-01,1619,Terra,MODIS,77,61.03,288,11.8,N,0
21.9253,83.3496,303.7,1.1,1.1,2024-01-01,1619,Terra,MODIS,57,61.03,291.2,8,N,2
22.0447,83.7299,304.9,1.2,1.1,2024-01-01,1619,Terra,MODIS,62,61.03,289.3,9.8,N,2
22.2105,84.868,300.4,1.4,1.2,2024-01-01,1619,Terra,MODIS,26,61.03,289.7,8.3,N,2
23.7622,86.3981,301.3,1,1,2024-01-01,2027,Aqua,MODIS,19,61.03,287.1,6.4,N,2
23.7803,86.2136,306.2,1,1,2024-01-01,2027,Aqua,MODIS,67,61.03,287.3,10.1,N,2
23.7608,86.4078,305.7,1,1,2024-01-01,2027,Aqua,MODIS,55,61.03,286.7,8.8,N,2
22.7945,86.2102,301.5,1,1,2024-01-01,2028,Aqua,MODIS,41,61.03,288.7,6,N,2
23.6899,86.3956,301,1,1,2024-01-01,2028,Aqua,MODIS,36,61.03,285.8,7.1,N,2
21.7695,84.0247,300.4,1.1,1,2024-01-01,2028,Aqua,MODIS,27,61.03,290,6.4,N,2
21.0831,85.0431,301.4,1,1,2024-01-01,2028,Aqua,MODIS,40,61.03,290.6,5.8,N,2
20.971,85.1763,309.4,1,1,2024-01-01,2028,Aqua,MODIS,76,61.03,292.5,9.8,N,2
20.7923,85.2617,303.7,1,1,2024-01-01,2028,Aqua,MODIS,57,61.03,290.9,7.2,N,2
22.045,83.7375,304.9,1.1,1.1,2024-01-01,2028,Aqua,MODIS,62,61.03,288.9,10.2,N,2
22.2138,84.8696,302.7,1,1,2024-01-01,2028,Aqua,MODIS,51,61.03,288.5,7.3,N,2
26.6432,93.0146,307.1,2,1.4,2024-01-02,0426,Terra,MODIS,0,61.03,295.6,16.3,D,0
21.2691,86.7673,309.1,1.1,1,2024-01-02,0427,Terra,MODIS,65,61.03,295.4,6.5,D,0
21.1681,86.703,306.4,1.1,1,2024-01-02,0427,Terra,MODIS,58,61.03,295.3,4.6,D,0
21.0742,85.0415,313.5,1,1,2024-01-02,0427,Terra,MODIS,71,61.03,297.2,9.3,D,2
20.9775,85.1348,308.9,1,1,2024-01-02,0427,Terra,MODIS,52,61.03,296.1,4.8,D,0
20.9721,85.1723,313.6,1,1,2024-01-02,0427,Terra,MODIS,38,61.03,296.1,8.1,D,2
20.9633,85.1709,311.3,1,1,2024-01-02,0427,Terra,MODIS,29,61.03,295.6,6.5,D,2
20.9619,85.1802,312.3,1,1,2024-01-02,0427,Terra,MODIS,48,61.03,296.2,7.6,D,2
20.966,85.0118,307.2,1,1,2024-01-02,0427,Terra,MODIS,42,61.03,296.1,4.3,D,2
20.8679,84.9898,308.7,1,1,2024-01-02,0427,Terra,MODIS,62,61.03,296.1,5.1,D,0
20.8666,84.9991,310.4,1,1,2024-01-02,0427,Terra,MODIS,67,61.03,296.8,6.2,D,0
20.7934,85.2557,315.9,1,1,2024-01-02,0427,Terra,MODIS,74,61.03,294.9,11.4,D,2
23.7838,86.2144,307,1,1,2024-01-02,0427,Terra,MODIS,19,61.03,295.2,4.6,D,2
23.8035,86.3259,310.6,1,1,2024-01-02,0427,Terra,MODIS,43,61.03,298.5,6.7,D,2
23.7759,86.3901,320,1,1,2024-01-02,0427,Terra,MODIS,30,61.03,300,12.2,D,2
23.7764,86.2033,309.5,1,1,2024-01-02,0427,Terra,MODIS,63,61.03,296.8,7,D,2
23.775,86.2129,307.7,1,1,2024-01-02,0427,Terra,MODIS,44,61.03,294.8,5.5,D,2
23.7334,86.4321,309.1,1,1,2024-01-02,0427,Terra,MODIS,27,61.03,297.3,5,D,2
23.7208,86.4437,311.1,1,1,2024-01-02,0427,Terra,MODIS,69,61.03,298,7.8,D,2
23.8221,85.4993,305.4,1,1,2024-01-02,0427,Terra,MODIS,61,61.03,295.3,5,D,0
23.6823,86.3977,310,1,1,2024-01-02,0427,Terra,MODIS,0,61.03,295.3,8.2,D,2
23.681,86.0865,306.4,1,1,2024-01-02,0427,Terra,MODIS,62,61.03,295.1,4.9,D,2
23.6797,86.096,309.1,1,1,2024-01-02,0427,Terra,MODIS,67,61.03,294.7,6.8,D,2
23.8344,84.9503,305.5,1,1,2024-01-02,0427,Terra,MODIS,49,61.03,294.7,4.7,D,0
